language,repo_num,user_num,ranked_repo,tags
Ruby,1031648,323036,"[""rails/rails"",""Homebrew/legacy-homebrew"",""jekyll/jekyll"",""discourse/discourse"",""plataformatec/devise"",""cantino/huginn"",""mitchellh/vagrant"",""diaspora/diaspora"",""ruby/ruby"",""Thibaut/devdocs""]","[""Object-oriented"",""Functional"",""Imperative"",""Scripting"",""Server""]"
Perl,116402,27437,"[""sitaramc/gitolite"",""so-fancy/diff-so-fancy"",""Jack000/Expose"",""major/MySQLTuner-perl"",""sarabander/sicp-pdf"",""kraih/mojo"",""openresty/nginx-tutorials"",""nbs-system/naxsi"",""alexrj/Slic3r"",""thoughtbot/rcm""]","[""Object-oriented"",""Imperative"",""Scripting"",""Procedural"",""Science""]"
Go,128094,24320,"[""golang/go"",""getlantern/lantern"",""kubernetes/kubernetes"",""avelino/awesome-go"",""astaxie/build-web-application-with-golang"",""google/cayley"",""github/hub"",""astaxie/beego"",""cockroachdb/cockroach"",""drone/drone""]","[""Imperative"",""Concurrent""]"
R,147432,101557,"[""hadley/ggplot2"",""hadley/devtools"",""hadley/plyr"",""hadley/testthat"",""slowkow/ggrepel"",""hadley/r4ds"",""hadley/lubridate"",""rasmusab/bayesian_first_aid"",""daattali/addinslist"",""hadley/multidplyr""]","[""Functional"",""Interactive mode"",""Scripting"",""Science""]"
PHP,890610,415650,"[""laravel/laravel"",""bcit-ci/CodeIgniter"",""symfony/symfony"",""domnikl/DesignPatternsPHP"",""fzaninotto/Faker"",""yiisoft/yii2"",""composer/composer"",""WordPress/WordPress"",""roots/sage"",""phacility/phabricator""]","[""Object-oriented"",""Imperative"",""Procedural"",""Scripting"",""Web Application"",""Server"",""Website""]"
Shell,366373,91251,"[""robbyrussell/oh-my-zsh"",""nvie/gitflow"",""dokku/dokku"",""creationix/nvm"",""xdissent/ievms"",""tj/git-extras"",""rbenv/rbenv"",""sorin-ionescu/prezto"",""boot2docker/boot2docker"",""babun/babun""]",[]
HTML,881296,268947,"[""FortAwesome/Font-Awesome"",""necolas/normalize.css"",""google/material-design-lite"",""harvesthq/chosen"",""ariya/phantomjs"",""Prinzhorn/skrollr"",""Polymer/polymer"",""google/web-starter-kit"",""ftlabs/fastclick"",""madrobby/zepto""]","[""Website"",""Web Application""]"
CoffeeScript,60554,15898,"[""jashkenas/coffeescript"",""michaelvillar/dynamics.js"",""philc/vimium"",""Leonidas-from-XIV/node-xml2js"",""oskarkrawczyk/heyoffline.js"",""twilson63/express-coffee"",""sstephenson/xipd"",""jinzhu/vrome"",""netzpirat/haml-coffee"",""jashkenas/journo""]","[""Website""]"
Scala,71319,19839,"[""twitter/kestrel"",""twitter/flockdb"",""sbt/sbt"",""scalatra/scalatra"",""slick/slick"",""scalanlp/breeze"",""ensime/ensime-server"",""vkostyukov/scalacaster"",""unfiltered/unfiltered"",""squeryl/squeryl""]","[""Object-oriented"",""Functional"",""Procedural"",""Concurrent""]"
JavaScript,2300661,869448,"[""FreeCodeCamp/FreeCodeCamp"",""d3/d3"",""angular/angular.js"",""jquery/jquery"",""airbnb/javascript"",""meteor/meteor"",""h5bp/html5-boilerplate"",""hakimel/reveal.js"",""impress/impress.js"",""moment/moment""]","[""Object-oriented"",""Functional"",""Procedural"",""Scripting"",""Website"",""Web Application"",""Server""]"
Cucumber,660,186,"[""rejeep/wrap-region.el"",""awendt/poet"",""p0deje/yard-doctest"",""geeksam/poker-dice"",""charleseff/git-blame-game"",""everzet/laraconeu15-shop"",""drewda/gavel"",""atipugin/middleman-blog"",""fukayatsu/middleman-gemoji"",""aslakhellesoy/autocomplete-demo""]",[]
ApacheConf,12386,3011,"[""h5bp/html5boilerplate.com"",""hellvinz/goredis"",""scy/universe"",""tomasAlabes/JamesBondEffect"",""ankit8898/octopart-api"",""d11wtq/apache-docker"",""arthurgouveia/youRepeat"",""Paxa/pg_cluster"",""antage/docker-apache2-php5"",""shadowhand/mithril-bootstrap-starter""]",[]
C,504077,244499,"[""torvalds/linux"",""antirez/redis"",""git/git"",""firehol/netdata"",""SamyPesse/How-to-Make-a-Computer-Operating-System"",""kripken/emscripten"",""php/php-src"",""ggreer/the_silver_searcher"",""wg/wrk"",""julycoding/The-Art-Of-Programming-By-July""]","[""Procedural"",""Imperative"",""Server""]"
Java,2032690,880710,"[""facebook/react-native"",""elastic/elasticsearch"",""ReactiveX/RxJava"",""square/retrofit"",""nostra13/Android-Universal-Image-Loader"",""square/okhttp"",""iluwatar/java-design-patterns"",""google/iosched"",""futurice/android-best-practices"",""square/picasso""]","[""Object-oriented"",""Functional"",""Imperative"",""Concurrent"",""Mobile Application"",""Website"",""Web Application"",""Game"",""Server""]"
PowerShell,22632,9616,"[""dahlbyk/posh-git"",""psake/psake"",""mwrock/packer-templates"",""JeremySkinner/posh-hg"",""JamesKovacs/psake"",""enricosada/fsharp-dotnet-cli-samples"",""jonnii/BuildDeploySupport"",""PProvost/AssertEx"",""JeremySkinner/posh-svn"",""loudej/WheresLouSamples""]",[]
Tcl,3754,1122,"[""zdia/gorilla"",""AE9RB/ruby-redis"",""antirez/partitions"",""flightaware/yajl-tcl"",""antirez/recidiv"",""minad/3delta"",""flightaware/speedtables"",""Raimondi/scid"",""bovine/tclws"",""jadeforrest/Tcl-Map-Reduce""]","[""Scripting"",""Procedural"",""Object-oriented""]"
CSS,722198,329524,"[""twbs/bootstrap"",""daneden/animate.css"",""google/material-design-icons"",""FezVrasta/bootstrap-material-design"",""numbbbbb/the-swift-programming-language-in-chinese"",""sahat/hackathon-starter"",""IanLunn/Hover"",""twbs/ratchet"",""dhg/Skeleton"",""tobiasahlin/SpinKit""]","[""Website"",""Web Application""]"
